time [s],id,pos_x,pos_y,angle [deg],speed [m/s]
0.0,0,212.3,98.4,90.0,0.0
0.0,1,87.7,101.6,270.0,0.0
0.0,2,187.7,301.6,270.0,0.0
0.0,3,301.6,112.3,0.0,0.0
0.0,4,112.3,198.4,90.0,0.0
0.0,5,87.7,1.6,270.0,0.0
0.0,6,8.3,-1.6,90.0,0.0
0.0,7,187.7,201.6,270.0,0.0
0.0,9,291.7,1.6,270.0,0.0
1.0,0,214.71,98.4,90.0,2.41
1.0,1,86.27,101.6,270.0,1.43
1.0,2,185.94,301.6,270.0,1.76
1.0,3,301.6,113.84,0.0,1.54
1.0,4,113.64,198.4,90.0,1.34
1.0,5,85.95,1.6,270.0,1.75
1.0,6,10.51,-1.6,90.0,2.21
1.0,7,185.18,201.6,270.0,2.52
1.0,9,290.07,1.6,270.0,1.63
2.0,0,218.59,98.4,90.0,3.87
2.0,1,82.23,101.6,270.0,4.03
2.0,2,181.7,301.6,270.0,4.24
2.0,3,301.6,116.79,0.0,2.95
2.0,4,117.04,198.4,90.0,3.4
2.0,5,82.29,1.6,270.0,3.66
2.0,6,15.01,-1.6,90.0,4.51
2.0,7,181.03,201.6,270.0,4.15
2.0,9,286.8,1.6,270.0,3.27
3.0,0,224.89,98.4,90.0,6.3
3.0,1,76.03,101.6,270.0,6.21
3.0,2,175.5,301.6,270.0,6.2
3.0,3,301.6,121.77,0.0,4.99
3.0,4,122.04,198.4,90.0,5.0
3.0,5,76.55,1.6,270.0,5.75
3.0,6,21.92,-1.6,90.0,6.9
3.0,7,175.33,201.6,270.0,5.7
3.0,8,87.7,1.6,270.0,0.0
3.0,9,281.8,1.6,270.0,5.0
4.0,0,233.31,98.4,90.0,8.43
4.0,1,67.39,101.6,270.0,8.63
4.0,2,166.87,301.6,270.0,8.63
4.0,3,301.6,128.33,0.0,6.55
4.0,4,128.89,198.4,90.0,6.86
4.0,5,69.22,1.6,270.0,7.33
4.0,6,30.51,-1.6,90.0,8.59
4.0,7,167.1,201.6,270.0,8.23
4.0,8,86.11,1.6,270.0,1.59
4.0,9,275.04,1.6,270.0,6.77
5.0,0,243.53,98.4,90.0,10.22
5.0,1,56.73,101.6,270.0,10.67
5.0,2,156.82,301.6,270.0,10.05
5.0,3,301.6,136.6,0.0,8.28
5.0,4,138.28,198.4,90.0,9.39
5.0,5,59.8,1.6,270.0,9.42
5.0,6,40.81,-1.6,90.0,10.31
5.0,7,157.26,201.6,270.0,9.84
5.0,8,82.77,1.6,270.0,3.33
5.0,9,266.29,1.6,270.0,8.75
6.0,0,256.3,98.4,90.0,12.77
6.0,1,43.87,101.6,270.0,12.85
6.0,2,145.36,301.6,270.0,11.46
6.0,3,301.6,146.62,0.0,10.02
6.0,4,149.43,198.4,90.0,11.15
6.0,5,48.77,1.6,270.0,11.03
6.0,6,52.86,-1.6,90.0,12.05
6.0,7,145.67,201.6,270.0,11.59
6.0,8,77.28,1.6,270.0,5.5
6.0,9,255.55,1.6,270.0,10.74
7.0,0,270.33,98.4,90.0,14.03
7.0,1,31.96,101.6,270.0,11.91
7.0,2,132.42,301.6,270.0,12.93
7.0,3,301.6,158.94,0.0,12.32
7.0,4,162.35,198.4,90.0,12.92
7.0,5,37.86,1.6,270.0,10.91
7.0,6,66.78,-1.6,90.0,13.92
7.0,7,134.1,201.6,270.0,11.57
7.0,8,69.86,1.6,270.0,7.42
7.0,9,244.5,1.6,270.0,11.05
8.0,0,281.28,98.4,90.0,10.95
